number	korean
1	가게
2	가격
3	가구
4	가깝다
5	가끔
6	가늘다
7	가다
8	가득
9	가르치다
10	가리키다
11	가방
12	가볍다
13	가수
14	가슴
15	가요
16	가운데
17	가위
18	가을
19	가장
20	가져가다
21	가져오다
22	가족
23	가지
24	가지다
25	각각
26	간단하다
27	간단히
28	간식
29	간장
30	간호사
31	갈비
32	갈비탕
33	갈색
34	갈아입다
35	갈아타다
36	감
37	감기
38	감기약
39	감다
40	감다
41	감사
42	감자
43	갑자기
44	값
45	강
46	강아지
47	강하다
48	갖다
49	같다
50	같이
51	갚다
52	개
53	개
54	개월
55	거
56	거기
57	거리
58	거리
59	거실
60	거울
61	거의
62	거절
63	거짓말
64	걱정
65	건강
66	건너가다
67	건너다
68	건너편
69	건물
70	걷다
71	걸다
72	걸리다
73	걸어가다
74	걸어오다
75	걸음
76	검사
77	검은색
78	검정
79	것
80	겉
81	게으르다
82	게임
83	겨울
84	결과
85	결석
86	결심
87	결정
88	결혼
89	결혼식
90	경기
91	경찰
92	경찰서
93	경치
94	경험
95	계단
96	계란
97	계산
98	계속
99	계시다
100	계절
101	계획
102	고개
103	고기
104	고등학교
105	고등학생
106	고르다
107	고맙다
108	고모
109	고민
110	고속버스
111	고양이
112	고장
113	고추장
114	고치다
115	고프다
116	고향
117	곧
118	곳
119	공
120	공무원
121	공부
122	공원
123	공장
124	공짜
125	공책
126	공항
127	공휴일
128	과거
129	과일
130	과자
131	관계
132	관광
133	관광객
134	관광지
135	관심
136	광고
137	광주
138	괜찮다
139	괴로워하다
140	교과서
141	교사
142	교수
143	교실
144	교육
145	교통
146	교통비
147	교통사고
148	교환
149	교회
150	구
151	구경
152	구두
153	구름
154	구십
155	구월
156	국
157	국내
158	국수
159	국적
160	국제
161	군인
162	굳다
163	굵다
164	굽다
165	궁금하다
166	권
167	귀
168	귀걸이
169	귀여워하다
170	귀엽다
171	귀찮다
172	규칙
173	귤
174	그
175	그거
176	그것
177	그곳
178	그날
179	그냥
180	그대로
181	그동안
182	그때
183	그래
184	그래서
185	그러나
186	그러니까
187	그러면
188	그러므로
189	그런
190	그런데
191	그럼
192	그럼
193	그렇다
194	그렇지만
195	그릇
196	그리고
197	그리다
198	그림
199	그립다
200	그만
201	그만두다
202	그분
203	그저께
204	그쪽
205	그치다
206	극장
207	근처
208	글
209	글쎄
210	글쎄요
211	글씨
212	글자
213	금방
214	금요일
215	금지
216	급하다
217	기간
218	기다리다
219	기르다
220	기름
221	기말시험
222	기분
223	기뻐하다
224	기쁘다
225	기쁨
226	기숙사
227	기억
228	기억나다
229	기온
230	기자
231	기차
232	기차역
233	기차표
234	기침
235	기타
236	기회
237	긴장
238	길
239	길다
240	길이
241	김
242	김밥
243	김치
244	김치찌개
245	깊다
246	깊이
247	까만색
248	까맣다
249	깎다
250	깜짝
251	깨끗이
252	깨끗하다
253	깨다
254	꺼내다
255	껌
256	꼭
257	꽃
258	꽃다발
259	꽃병
260	꽃집
261	꾸다
262	꿈
263	끄다
264	끊다
265	끓다
266	끓이다
267	끝
268	끝나다
269	끝내다
270	끼다
271	나
272	나가다
273	나누다
274	나다
275	나라
276	나머지
277	나무
278	나쁘다
279	나오다
280	나이
281	나중
282	나타나다
283	나흘
284	낚시
285	날
286	날다
287	날씨
288	날씬하다
289	날아다니다
290	날짜
291	남
292	남기다
293	남녀
294	남다
295	남대문
296	남동생
297	남산
298	남성
299	남자
300	남쪽
301	남편
302	남학생
303	낫다
